Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Consultant Services Required,Project URL,Board Approval Date,Project Closing Date,Last Stage Reached,Financing Type,Current Project Cost,IBRD Commitment,IDA Commitment,Total IDA and IBRD Commitment,Grant Amount,Borrower,Lending Instrument,Environmental Assessment Category,Environmental and Social Risk,Sector 1,Sector 2,Sector 3,Theme 1,Theme 2
P007155,Latin America and Caribbean,Republic of El Salvador,Closed,Agricultural and Vocational Training Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007155,1978-05-18T00:00:00Z,6/30/1985,,,,,,,,,Specific Investment Loan,,,Vocational training,,,,
P006288,Latin America and Caribbean,Federative Republic of Brazil,Closed,Agricultural Extension Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006288,1978-05-16T00:00:00Z,12/31/1985,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Agricultural extension,,,,
P007545,Latin America and Caribbean,United Mexican States,Closed,Agricultural Credit Project (06),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007545,1978-05-16T00:00:00Z,6/30/1982,,,,,,,,,Financial Intermediary Loan,,,(Historic)Agricultural credit,,,,
P007806,Latin America and Caribbean,Republic of Panama,Closed,Highway Maintenance Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007806,1978-05-11T00:00:00Z,12/31/1983,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Highways,,,,
P006292,Latin America and Caribbean,Federative Republic of Brazil,Closed,Urban Transport Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006292,1978-05-09T00:00:00Z,3/30/1984,,,,,,,,,Specific Investment Loan,C,,(Historic)Urban transport,,,,
P006289,Latin America and Caribbean,Federative Republic of Brazil,Closed,Copesul Petrochemical Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006289,1978-05-09T00:00:00Z,12/31/1984,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Fertilizer and other chemicals,,,,
P005933,Latin America and Caribbean,Argentine Republic,Closed,Agricultural Credit Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P005933,1978-05-09T00:00:00Z,6/30/1983,,,,,,,,,Financial Intermediary Loan,,,(Historic)Agricultural credit,,,,
P007547,Latin America and Caribbean,United Mexican States,Closed,Industrial Equipment Fund Project (03),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007547,1978-05-02T00:00:00Z,6/30/1982,,,,,,,,,Financial Intermediary Loan,,,(Historic)Financial sector development,,,,
P006291,Latin America and Caribbean,Federative Republic of Brazil,Closed,Highway Project (06),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006291,1978-04-27T00:00:00Z,6/30/1985,,,,,,,,,Specific Investment Loan,,,(Historic)Highways,,,,
P007550,Latin America and Caribbean,United Mexican States,Closed,Lazaro Cardenas Conurbation Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007550,1978-04-27T00:00:00Z,6/30/1983,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Urban housing,,,,
P007546,Latin America and Caribbean,United Mexican States,Closed,Tropical Tree Agricultural Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007546,1978-04-27T00:00:00Z,6/30/1984,,,,,,,,,Specific Investment Loan,,,(Historic)Agriculture adjustment,,,,
P007548,Latin America and Caribbean,United Mexican States,Closed,Small and Medium Scale Industrial Development Project (01),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007548,1978-04-27T00:00:00Z,9/30/1982,,,,,,,,,Financial Intermediary Loan,,,(Historic)Small scale enterprise,,,,
P006754,Latin America and Caribbean,Republic of Colombia,Closed,Urban Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006754,1978-04-27T00:00:00Z,6/30/1985,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Urban management,,,,
P006290,Latin America and Caribbean,Federative Republic of Brazil,Closed,South Southeast Power Distribution Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006290,1978-03-28T00:00:00Z,12/31/1985,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Distribution and transmission,,,,
P006285,Latin America and Caribbean,Federative Republic of Brazil,Closed,Paraiba Rural Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006285,1978-03-28T00:00:00Z,9/30/1986,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Agriculture adjustment,,,,
P007353,Latin America and Caribbean,Republic of Honduras,Closed,Education Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007353,1978-03-14T00:00:00Z,12/31/1984,,,,,,,,,Specific Investment Loan,,,Primary Education,,,,
P006915,Latin America and Caribbean,Republic of Costa Rica,Closed,Telecommunications Project (05),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006915,1978-03-14T00:00:00Z,6/30/1984,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Telecommunications and informatics,,,,
P007866,Latin America and Caribbean,Republic of Paraguay,Closed,Highway Project (05),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007866,1978-03-07T00:00:00Z,6/30/1983,,,,,,,,,Specific Investment Loan,,,(Historic)Highways,,,,
P007549,Latin America and Caribbean,United Mexican States,Closed,Tourism Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007549,1978-02-28T00:00:00Z,12/31/1981,,,,,,,,,Financial Intermediary Loan,,,(Historic)Other urban development,,,,
P006293,Latin America and Caribbean,Federative Republic of Brazil,Closed,Sao Paulo Sewerage Collection and Treatment Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006293,1978-02-28T00:00:00Z,9/30/1984,,,,,,,,,Specific Investment Loan,,,Sewerage,,,,
P005934,Latin America and Caribbean,Argentine Republic,Closed,Grain Storage Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P005934,1978-02-21T00:00:00Z,12/31/1987,,,,,,,,,Financial Intermediary Loan,,,(Historic)Agro-industry and marketing,,,,
P006755,Latin America and Caribbean,Republic of Colombia,Closed,Cali Water Supply Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006755,1978-02-21T00:00:00Z,6/30/1982,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Urban water supply,,,,
P007277,Latin America and Caribbean,Republic of Haiti,Closed,Education Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007277,1978-02-21T00:00:00Z,12/31/1984,,,,,,,,,Specific Investment Loan,,,Primary Education,,,,
P007421,Latin America and Caribbean,Jamaica,Closed,Power Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007421,1978-02-07T00:00:00Z,12/31/1983,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Distribution and transmission,,,,
P007419,Latin America and Caribbean,Jamaica,Closed,Sugar Rehabilitation Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007419,1978-02-07T00:00:00Z,12/31/1984,,,,,,,,,Specific Investment Loan,,,(Historic)Agro-industry and marketing,,,,
P006130,Latin America and Caribbean,Plurinational State of Bolivia,Closed,Ulla Ulla Rural Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006130,1978-01-12T00:00:00Z,12/31/1986,,,,,,,,,Specific Investment Loan,,,(Historic)Agriculture adjustment,,,,
P007279,Latin America and Caribbean,Republic of Haiti,Closed,Provincial Towns Water Supply Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007279,1977-12-13T00:00:00Z,12/31/1983,,,,,,,,,Specific Investment Loan,,,(Historic)Urban water supply,,,,
P007420,Latin America and Caribbean,Jamaica,Closed,Program Loan Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007420,1977-12-13T00:00:00Z,9/30/1978,,,,,,,,,Structural Adjustment Loan,,,(Historic)Economic management,,,,
P007867,Latin America and Caribbean,Republic of Paraguay,Closed,Rural Water Supply Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007867,1977-12-13T00:00:00Z,6/30/1983,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Rural water supply and sanitation,,,,
P007758,Latin America and Caribbean,Republic of Nicaragua,Closed,Managua Water Supply Project (03),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007758,1977-11-29T00:00:00Z,6/30/1983,,,,,,,,,Specific Investment Loan,,,(Historic)Urban water supply,,,,
P007759,Latin America and Caribbean,Republic of Nicaragua,Closed,Rural Sanitation Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007759,1977-11-29T00:00:00Z,12/31/1983,,,,,,,,,Specific Investment Loan,,,Sewerage,,,,
P006917,Latin America and Caribbean,Republic of Costa Rica,Closed,San Jose Urban Transport Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006917,1977-10-18T00:00:00Z,12/31/1983,,,,,,,,,Specific Investment Loan,,,(Historic)Urban transport,,,,
P006132,Latin America and Caribbean,Plurinational State of Bolivia,Closed,Urban Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006132,1977-10-04T00:00:00Z,6/30/1986,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Urban housing,,,,
P006751,Latin America and Caribbean,Republic of Colombia,Closed,Integrated Nutrition Improvement Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006751,1977-09-13T00:00:00Z,6/30/1985,,,,,,,,,Specific Investment Loan,,,(Historic)Targeted health,,,,
P006286,Latin America and Caribbean,Federative Republic of Brazil,Closed,Ceara Rural Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006286,1977-09-13T00:00:00Z,12/31/1985,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Agriculture adjustment,,,,
P007056,Latin America and Caribbean,Republic of Ecuador,Closed,Technical Assistance Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007056,1977-08-02T00:00:00Z,6/30/1985,,,,,,,,,Technical Assistance Loan,,,(Historic)Public sector management adjustment,,,,
P007805,Latin America and Caribbean,Republic of Panama,Closed,Power Project (04),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007805,1977-06-28T00:00:00Z,4/30/1986,,,,,,,,,Specific Investment Loan,,,(Historic)Hydro,,,,
P006748,Latin America and Caribbean,Republic of Colombia,Closed,Highways Project (07),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006748,1977-06-28T00:00:00Z,12/31/1985,,,,,,,,,Specific Investment Loan,,,(Historic)Highways,,,,
P007153,Latin America and Caribbean,Republic of El Salvador,Closed,Urban Development Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007153,1977-06-23T00:00:00Z,12/31/1984,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Urban housing,,,,
P007418,Latin America and Caribbean,Jamaica,Closed,Rural Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007418,1977-06-23T00:00:00Z,12/31/1983,,,,,,,,,Specific Investment Loan,,,(Historic)Agriculture adjustment,,,,
P005930,Latin America and Caribbean,Argentine Republic,Closed,Industrial Credit Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P005930,1977-06-16T00:00:00Z,12/31/1984,,,,,,,,,Financial Intermediary Loan,,,(Historic)Financial sector development,,,,
P007542,Latin America and Caribbean,United Mexican States,Closed,Integrated Rural Development - PIDER Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007542,1977-06-16T00:00:00Z,1/31/1983,,,,,,,,,Financial Intermediary Loan,,,(Historic)Agriculture adjustment,,,,
