"project.id","country","p.invest","p.year","environmental","other"
"p162833"," peru",0,2024,0,1
"p167996"," paraguay",0,2024,0,1
"p159710"," guatemala",0,2023,0,1
"p164588","  brazil",0,2021,1,0
"p162858"," colombia",7.5e+08,2020,1,0
"p167512"," haiti",0,2024,1,0
"p165870"," haiti",0,2025,1,0
"p152057"," honduras",3e+07,2024,1,0
"p169125"," el salvador",0,2024,1,0
"p168549","sint maarten",3.5e+07,2025,1,0
"p167416"," ecuador",0,2024,0,1
"p166730","  guyana",0,2024,0,1
"p162149"," dominica",54173000,2026,1,0
"p162594"," colombia",0,2025,0,1
"p165683","  brazil",207086000,2026,1,0
"p165973"," suriname",0,2024,1,0
"p163255"," peru",157825000,2024,0,1
"p163023"," peru",0,2024,1,0
"p167347","sint maarten",2.5e+07,2023,1,0
"p165695","  brazil",0,2025,0,1
"p163260","dominican ",0,2026,1,0
"p167889","argentina ",0,2020,0,1
"p164602","  brazil",0,2023,1,0
"p166783","st lucia",2e+07,2023,0,1
"p162452"," haiti",2e+07,2020,0,1
"p164356"," el salvador",1800000,2023,1,0
"p167532","sint maarten",100500000,2024,1,0
"p167368","sint maarten",22500000,2023,0,1
"p165300"," colombia",4.4e+09,2023,0,1
"p165218"," honduras",848062,2020,0,1
"p157043"," peru",2e+08,2025,1,0
"p161713"," colombia",1.096e+09,2024,1,0
"p167339","sint maarten",100200000,2024,1,0
"p157715","organization of eastern caribbean states",1.2e+07,2025,0,1
"p162455","  brazil",1.324e+09,2033,1,0
"p145468"," haiti",2294320,2021,0,1
"p164289","grenada",0,2019,0,1
"p165425","  guyana",0,2019,0,1
"p166159"," panama",1e+08,2019,1,0
"p164453"," bolivia",3e+08,2023,0,1
"p163490"," haiti",1.38e+08,2025,0,1
"p162316","argentina ",187500000,2024,1,0
"p163345","argentina ",440430000,2023,1,0
"p166537"," dominica",4e+07,2023,1,0
"p166328"," dominica",29500000,2023,1,0
"p159835","mexico",76157985,2023,1,0
"p160778","mexico",6850000,2023,1,0
"p164660"," peru",402695,2020,0,1
"p163531"," nicaragua",5e+07,2024,0,1
"p164452"," nicaragua",6e+07,2023,1,0
"p157575"," panama",85200000,2023,1,0
"p164257","jamaica",4875000,2023,1,0
"p162908"," haiti",26210046,2023,1,0
"p165120"," guatemala",350000,2020,1,0
"p160680"," colombia",2e+07,2023,1,0
"p163431"," costa rica",1823042,2020,0,1
"p152307","jamaica",1.5e+07,2024,0,1
"p164661","mexico",1.85e+08,2023,1,0
"p162485","latin america",726000,2021,0,1
"p162033","  brazil",2.5e+08,2023,0,1
"p161642"," colombia",5e+08,2018,1,0
"p163115","argentina ",3.11e+08,2023,0,1
"p156880"," colombia",41900000,2023,1,0
"p158000","  brazil",60330000,2026,1,0
"p163868","  brazil",2.5e+08,2023,0,1
"p163612"," suriname",350000,2020,1,0
"p152285","  brazil",1e+06,2024,0,1
"p154351"," haiti",15650000,2028,1,0
"p156719"," haiti",19620000,2024,1,0
"p147158","  brazil",8e+07,2023,1,0
"p163437"," chile",375126000,2023,0,1
"p159351","dominican ",1.5e+08,2021,1,0
"p159653","organization of eastern caribbean states",108300000,2021,1,0
"p155034","caribbean",5e+05,2020,1,0
"p151604","mexico",6e+06,2023,1,0
"p161989","  uruguay",1.2e+07,2023,0,1
"p162475"," panama",290000,2020,1,0
"p155201"," haiti",55400000,2023,0,1
"p157932","mexico",1e+08,2021,0,1
"p161434","dominican ",440038,2022,1,0
"p163586","jamaica",7e+07,2018,1,0
"p161018"," chile",8e+07,2018,0,1
"p154253","st vincent and  grenadines",10700000,2023,0,1
"p158958","organization of eastern caribbean states",9660000,2023,1,0
"p151851"," peru",88150000,2023,1,0
"p153012","  brazil",146600000,2024,1,0
"p159519","  guyana",14026924,2025,1,0
"p161359"," nicaragua",497000,2019,0,1
"p157795"," honduras",1400000,2020,1,0
"p161029"," nicaragua",5.5e+07,2023,0,1
"p161798","argentina ",3.75e+08,2023,1,0
"p152117","organization of eastern caribbean states",2.6e+07,2023,1,0
"p163049","dominican ",5e+05,2020,1,0
"p160633"," peru",5e+05,2019,1,0
"p159512","  guyana",6e+06,2022,0,1
"p160570","mexico",1.95e+08,2020,0,1
"p159213"," guatemala",1.09e+08,2024,0,1
"p157531"," haiti",25500000,2023,1,0
"p154275"," panama",81200000,2020,1,0
"p160309","mexico",1e+08,2022,1,0
"p158739"," colombia",6e+08,2018,0,1
"p160359"," nicaragua",96800000,2023,1,0
"p159901","argentina ",4.8e+08,2022,1,0
"p159843","argentina ",242500000,2025,1,0
"p159929","argentina ",2.06e+08,2023,0,1
"p157136","argentina ",88900000,2021,0,1
"p160446"," colombia",4.67e+08,2023,0,1
"p155902"," peru",120900000,2023,1,0
"p143495"," guatemala",4.5e+07,2023,1,0
"p153366"," guatemala",5.5e+07,2023,0,1
"p156250"," peru",1e+08,2022,0,1
"p147342"," peru",70407306,2022,1,0
"p152281"," bolivia",230050000,2023,0,1
"p159771","  uruguay",5.9e+07,2023,1,0
"p156761","grenada",1e+07,2017,0,1
"p158520"," colombia",8e+08,2017,0,1
"p157425"," ecuador",102465000,2023,0,1
"p159515","argentina ",5e+07,2022,0,1
"p160667"," guatemala",2.5e+08,2019,0,1
"p155191"," haiti",82100000,2023,0,1
"p156239"," colombia",133511000,2024,1,0
"p152820"," chile",3500000,2021,1,0
"p149522","belize",11975000,2024,1,0
"p154819"," panama",3e+08,2018,0,1
"p155235"," nicaragua",22700000,2022,0,1
"p147278"," paraguay",1e+08,2024,0,1
"p158836","organization of eastern caribbean states",2e+06,2019,1,0
"p158791","argentina ",1.05e+09,2023,0,1
"p145686","argentina ",3.26e+08,2023,1,0
"p155978","latin america",399480,2020,1,0
"p155976","latin america",727609,2020,1,0
"p157484","caribbean",1600000,2018,0,1
"p154479"," bolivia",3e+05,2017,0,1
"p143185","  brazil",9250000,2021,1,0
"p157324"," ecuador",1.5e+08,2021,1,0
"p148435"," costa rica",4.2e+08,2023,0,1
"p153404","organization of eastern caribbean states",2300000,2019,0,1
"p158239","caribbean",2820000,2017,0,1
"p149872","mexico",1.56e+08,2023,1,0
"p154981"," peru",1.25e+09,2020,1,0
"p156858"," peru",1.25e+09,2020,0,1
"p146965","jamaica",3e+07,2024,1,0
"p147272","  brazil",3e+08,2022,1,0
"p147280"," ecuador",91030000,2023,0,1
"p129342","  brazil",1133685570,2021,1,0
"p146981","  brazil",2e+08,2017,0,1
"p147277","dominican ",1.2e+08,2022,1,0
"p155920"," honduras",5e+07,2017,0,1
"p132515"," peru",54790000,2023,1,0
"p154821"," colombia",7e+08,2017,0,1
"p153203","  brazil",1.5e+08,2017,0,1
"p153338","mexico",4.05e+08,2020,0,1
"p154213"," chile",1e+08,2016,0,1
"p144597"," bolivia",2.25e+08,2024,1,0
"p155425","dominican ",6e+07,2017,0,1
"p152319"," chile",45170000,2016,1,0
"p151821","grenada",1.5e+07,2016,1,0
"p150738","  brazil",2e+05,2021,0,1
"p152096"," ecuador",2.01e+08,2022,0,1
"p146831","dominican ",5e+07,2023,1,0
"p150475"," colombia",7e+08,2016,1,0
"p148737"," honduras",37800000,2023,1,0
"p155097"," panama",6e+07,2022,1,0
"p145610"," peru",5.836e+09,2020,0,1
"p148499"," peru",5500000,2021,1,0
"p129633","jamaica",7500000,2022,1,0
"p143334","  brazil",49980000,2022,1,0
"p151963"," ecuador",109200000,2023,1,0
"p149670","latin america",47250000,2021,1,0
"p148259"," haiti",5000001,2020,1,0
"p151568"," colombia",74040,2017,1,0
"p106685","argentina ",76500000,2022,1,0
"p133193","argentina ",437500000,2022,1,0
"p152136"," nicaragua",6e+07,2020,0,1
"p129555","  guyana",1700000,2018,0,1
"p148970"," haiti",7e+07,2023,1,0
"p132408","  guyana",3270000,2019,1,0
"p150892","  brazil",4300000,2018,0,1
"p151439"," ecuador",247800000,2023,1,0
"p114294","argentina ",21580000,2021,1,0
"p151804"," panama",3e+08,2016,0,1
"p132846","argentina ",61060000,2022,0,1
"p133288","argentina ",240090000,2023,1,0
"p131734","caribbean",3e+06,2019,1,0
"p151007"," paraguay",1e+08,2017,0,1
"p149831"," peru",4e+08,2018,0,1
"p147213","dominican ",7.5e+07,2022,0,1
"p106013"," colombia",1e+06,2017,1,0
"p145618","mexico",16880734,2020,1,0
"p151448","jamaica",7.5e+07,2015,1,0
"p143492","  brazil",6500000,2022,1,0
"p131408","belize",7310000,2020,1,0
"p150751"," bolivia",2e+08,2016,1,0
"p148809"," nicaragua",4.2e+07,2019,1,0
"p145621"," panama",28969300,2019,1,0
"p148552"," colombia",4700000,2019,0,1
"p133129","argentina ",7.67e+08,2021,1,0
"p149189","  brazil",1100000,2017,0,1
"p145766"," colombia",7e+08,2015,1,0
"p149609"," colombia",7e+08,2017,0,1
"p106684","argentina ",4.53e+08,2017,1,0
"p110614","  brazil",27050000,2012,0,1
"p111926"," costa rica",6.5e+07,2017,1,0
"p110655","dominican ",1e+06,2011,0,1
"p106623","barbados",94390000,2014,1,0
"p106445"," panama",58730000,2014,0,1
"p106686"," panama",4.2e+07,2014,0,1
"p101590"," peru",3.7e+08,2015,0,1
"p106767","  brazil",1.1e+09,2010,1,0
"p110462","argentina ",34250000,2017,1,0
"p113637","  brazil",114479,2011,0,1
"p113426"," costa rica",5e+05,2013,0,1
"p111940","  brazil",310000,2008,1,0
"p094315","  brazil",59400000,2015,0,1
"p082927"," chile",7e+07,2010,1,0
"p111667"," haiti",2130220,2012,0,1
"p101171","argentina ",28030000,2013,1,0
"p106589","mexico",8e+07,2015,0,1
"p090044","  guyana",2584050,2015,1,0
"p090119","argentina ",90595000,2017,1,0
"p109058"," honduras",64600000,2015,1,0
"p101209"," honduras",51200000,2021,0,1
"p109691"," nicaragua",2e+07,2014,1,0
"p106283"," nicaragua",23100000,2015,1,0
"p106699"," haiti",46700000,2016,0,1
"p112133"," haiti",1e+07,2008,0,1
"p100635","organization of eastern caribbean states",7200000,2014,0,1
"p098248","andean countries",35970000,2014,1,0
"p089866","dominican ",152100000,2013,1,0
"p111255"," honduras",3e+05,2011,0,1
"p095673","jamaica",1.5e+07,2018,0,1
"p105024","jamaica",1.15e+08,2018,0,1
"p106622","jamaica",11540000,2013,1,0
"p110098","latin america",1920000,2012,0,1
"p109932","dominican ",8e+07,2016,1,0
"p106038","  brazil",1.55e+09,2015,0,1
"p101324","  brazil",1.437e+09,2014,0,1
"p106621"," haiti",5860000,2012,0,1
"p095626","  brazil",166700000,2014,0,1
"p082908"," colombia",5e+07,2015,0,1
"p105029"," colombia",5.5e+08,2011,1,0
"p110849","mexico",501250000,2011,1,0
"p088966","  brazil",44470000,2022,1,0
"p095169","latin america",1.2e+07,2012,1,0
"p100806","argentina ",71800000,2016,1,0
"p101322","grenada",2800000,2012,1,0
"p101084"," bolivia",19550000,2015,1,0
"p108974"," nicaragua",1.7e+07,2014,1,0
"p105164"," colombia",537300000,2013,0,1
"p083997","  brazil",3.5e+07,2014,1,0
"p116936"," haiti",903000,2010,0,1
"p094715","  brazil",9.7e+07,2014,1,0
"p088799"," paraguay",46750000,2020,1,0
"p101206"," bolivia",16462005,2015,1,0
"p101218"," honduras",16400000,2013,0,1
"p110920"," peru",170000,2009,1,0
"p088996","mexico",106830000,2015,1,0
"p095038","mexico",3e+07,2015,1,0
"p094199","  brazil",90630000,2013,0,1
"p085539"," costa rica",79700000,2014,1,0
"p098732","mexico",2011138,2011,1,0
"p109575","jamaica",1e+07,2011,1,0
"p106449"," bolivia",10700000,2013,1,0
"p101426"," bolivia",23010000,2015,1,0
"p101298"," bolivia",47930000,2013,1,0
"p089013","  brazil",46800000,2013,1,0
